Key,english
DespairTip,"You are overwhelmed by how hopeless the situation appears. You can combat this by staying in a well-lit area, staying warm, and staying dry.\n\nProlonged periods of being wet, in darkness, or cold temperatures will increase the rate at which your despair grows. Injuries sustained, along with hunger and thirst also have an adverse effect, as does being in close proximity to zombies.\n\nThere is medication available to reduce your symptoms, and consuming certain food or drink may help too.\n\nTreatment from consumables:\n\nCooked Canned Food: [FFC800]0.1%[-]\nBoiled egg & Charred meat: [FFC800]0.20%[-]\nTier 1 food: [FFC800]0.25%[-]\nGoldenrod & Red tea: [FFC800]0.5%[-]\nBacon & Eggs and Coffee: [FFC800]1%[-]\nTier 2 food, Blackstrap coffee,smoothies, mineral water & beer: [FFC800]2%[-]\nTier 3 food: [FFC800]3%[-]\nTier 4 food: [FFC800]5%[-]"
DespairTip_title,Despair
FertilizerDesc,"Fertilizer is made in a Chemistry Station or Cement Mixer. Use a hoe to fertilize the land.\n\nYou must have at least 10 fertilizer in your inventory to fertilize terrain with a hoe."
ammoDismantleArrowStone,Stone Arrow Parts
ammoDismantleArrowStoneDesc,Component parts from dismantling stone arrows.
ammoDismantleArrowIron,Iron Arrow Parts
ammoDismantleArrowIronDesc,Component parts from dismantling iron arrows.
ammoDismantleArrowSteelAP,Steel Arrow Parts
ammoDismantleArrowSteelAPDesc,Component parts from dismantling steel arrows.
ammoDismantleArrowFlaming,Flaming Arrow Parts
ammoDismantleArrowFlamingDesc,Component parts from dismantling flaming arrows.
ammoDismantleArrowExploding,Exloding Arrow Parts
ammoDismantleArrowExplodingDesc,Component parts from dismantling exploding arrows.
ammoDismantleCrossbowBoltStone,Stone Crossbow Bolt Parts
ammoDismantleCrossbowBoltStoneDesc,Component parts from dismantling stone crossbow bolts.
ammoDismantleCrossbowBoltIron,Iron Crossbow Bolt Parts
ammoDismantleCrossbowBoltIronDesc,Component parts from dismantling iron crossbow bolts.
ammoDismantleCrossbowBoltSteelAP,Steel Crossbow Bolt Parts
ammoDismantleCrossbowBoltSteelAPDesc,Component parts from dismantling steel crossbow bolts.
ammoDismantleCrossbowBoltFlaming,Flaming Crossbow Bolt Parts
ammoDismantleCrossbowBoltFlamingDesc,Component parts from dismantling flaming crossbow bolts.
ammoDismantleCrossbowBoltExploding,Exploding Crossbow Bolt Parts
ammoDismantleCrossbowBoltExplodingDesc,Component parts from dismantling exploding crossbow bolts.
ammoDismantle9mmBulletBall,9mm Bullet Parts
ammoDismantle9mmBulletBallDesc,Component parts from dismantling 9mm rounds.
ammoDismantle9mmBulletHP,9mm HP Bullet Parts
ammoDismantle9mmBulletHPDesc,Component parts from dismantling high-power 9mm rounds.
ammoDismantle9mmBulletAP,9mm AP Bullet Parts
ammoDismantle9mmBulletAPDesc,Component parts from dismantling armour piercing 9mm rounds.
ammoDismantle44MagnumBulletBall,.44 Bullet Parts
ammoDismantle44MagnumBulletBallDesc,Component parts from dismantling .44 Magnum rounds.
ammoDismantle44MagnumBulletHP,.44 HP Bullet Parts
ammoDismantle44MagnumBulletHPDesc,Component parts from dismantling high-power .44 Magnum rounds.
ammoDismantle44MagnumBulletAP,.44 AP Bullet Parts
ammoDismantle44MagnumBulletAPDesc,Component parts from dismantling armour piercing .44 Magnum rounds.
ammoDismantle762mmBulletBall,7.62mm Bullet Parts
ammoDismantle762mmBulletBallDesc,Component parts from dismantling 7.62mm rounds.
ammoDismantle762mmBulletHP,7.62mm HP Bullet Parts
ammoDismantle762mmBulletHPDesc,Component parts from dismantling high-power 7.62mm rounds.
ammoDismantle762mmBulletAP,7.62mm AP Bullet Parts
ammoDismantle762mmBulletAPDesc,Component parts from dismantling armour piercing 7.62mm rounds.
ammoDismantleShotgunShell,Shotgun Shell Parts
ammoDismantleShotgunShellDesc,Component parts from dismantling shotgun shells.
ammoDismantleShotgunSlug,Shotgun Slug Parts
ammoDismantleShotgunSlugDesc,Component parts from dismantling shotgun slugs.
ammoDismantleShotgunBreachingSlug,Shotgun Breaching Slug Parts
ammoDismantleShotgunBreachingSlugDesc,Component parts from dismantling shotgun breaching slugs.
ammoDismantleRocketFrag,Frag Rocket Parts
ammoDismantleRocketFragDesc,Component parts from dismantling frag rockets.
ammoDismantleRocketHE,High Explosive Rocket Parts
ammoDismantleRocketHEDesc,Component parts from dismantling high explosive rockets.
animalCockroach,Mutated Cockroach
animalMutantBug,Mutant Bug
animalWildChicken,Chicken
antivenom,"Anti-venom"
antivenomDesc,"Use this to instantly remove the effects of venom.\n\nCan be crafted at the campfire, in a cooking pot, or use a beaker to save on ingredients."
armorNerdOutfitDesc,Heavy Armor\nYour lack of fashion sense gives you the ability to focus on your inventions. Increases quantity of research found in loot.\n\nFull Set Bonus: Tools and Weapons degrade slower.
barbedWireSpindleVariantHelper
barbedWireSpindleVariantHelperBlock
beehive,Beehive
beehiveDesc,"Produces honey, requires a bee."
BowRepairKit,Bow Repair Kit
BowRepairKitDesc,This Repair Kit is used to repair bows and crossbows.
ClubRepairKit,Club Repair Kit
ClubRepairKitDesc,This Repair Kit is used to repair steel clubs.
HandgunRepairKit,Handgun Repair Kit
HandgunRepairKitDesc,"This Repair Kit is used to repair 9mm pistols, .44 handguns, and SMGs."
KnucklesRepairKit,Knuckles Repair Kit
KnucklesRepairKitDesc,This Repair Kit is used to repair steel knuckles.
MacheteRepairKit,Machete Repair Kit
MacheteRepairKitDesc,This Repair Kit is used to repair machetes.
MachinegunRepairKit,Machine Gun Repair Kit
MachinegunRepairKitDesc,"This Repair Kit is used to repair AK47s, tactical assault rifles, and M60s."
PrimitiveRepairKit,Basic Repair Kit
PrimitiveRepairKitDesc,"This Repair Kit is used to repair Primitive Armour"
ArmourRepairKit,Armour Repair Kit
MilitaryArmourRepairKitDesc,This Repair Kit is used to repair armour.
MotorToolRepairKit,Motor Tool Repair Kit
MotorToolRepairKitDesc,"This Repair Kit is used to repair chainsaws, augers, & impact drivers."
RifleRepairKit,Rifle Repair Kit
RifleRepairKitDesc,"This Repair Kit is used to repair hunting, lever-action, and sniper rifles."
RobotRepairKit,Robot Repair Kit
RobotRepairKitDesc,This Repair Kit is used to repair robotic weapons and drones.
RocketLauncherRepairKit,Rocket Launcher Repair Kit
RocketLauncherRepairKitDesc,This Repair Kit is used to repair rocket launchers.
ShotgunRepairKit,Shotgun Repair Kit
ShotgunRepairKitDesc,"This Repair Kit is used to repair double barrel, pump action, and auto shotguns."
SledgehammerRepairKit,Sledgehammer Repair Kit
SledgehammerRepairKitDesc,This Repair Kit is used to repair steel sledgehammers.
SpearRepairKit,Spear Repair Kit
SpearRepairKitDesc,This Repair Kit is used to repair steel spears.
SteelArmourRepairKit,Steel Armour Repair Kit
SteelArmourRepairKitDesc,This Repair Kit is used to repair steel armour.
SteelToolRepairKit,Steel Tool Repair Kit
SteelToolRepairKitDesc,"This Repair Kit is used to repair steel axes, picks, and shovels."
StunBatonRepairKit,Stun Baton Repair Kit
StunBatonRepairKitDesc,This Repair Kit is used to repair stun batons.
buffBurningShaftActive,Fuel Status
buffBurningShaftActiveDesc,"Your burning shaft mod is currently fuelled.\n\nThe fuel is being depleted, and when used up, the flame will extinguish.\n\nRefuel the mod by having 10 gasoline in your inventory."
buffCampfireAOEEffectDesc,"You are warmed by the fire.\n\nCold Resist +15\n\nThis warming effect, combined with shelter and light, can slowly reduce your despair."
buffDespair01GetBetterDesc,"You have taken something - medication, food or drink, that is helping to treat your despair."
buffDespair01GetBetterName,Feeling Better
buffDespair01UntreatedDesc,"You are not very optimistic about your survival.\n\nEating certain foods, finding warmth and shelter, or taking medication will help you start to feel better.\n\nResting on a bed near a campfire while sheltered will help ..."
buffDespair01UntreatedName,Despair
buffDespair01UntreatedTooltip,It's feeling a little hopeless ...
buffDespair02GetBetterDesc,"You have taken something - medication, food or drink, that is helping to treat your despair."
buffDespair02GetBetterName,Feeling Better
buffDespair02UntreatedDesc,"You are starting to feel worse about your chances of survival.\n\nEating certain foods, finding warmth and shelter, or taking medication will help you start to feel better.\n\nStamina regen is 12.5% slower."
buffDespair02UntreatedName,Isolation
buffDespair03GetBetterDesc,"You have taken something - medication, food or drink, that is helping to treat your despair."
buffDespair03GetBetterName,Feeling Better
buffDespair03UntreatedDesc,"You feel the outlook is bleak, and are close to giving up.\n\nEating certain foods, finding warmth and shelter, or taking medication will help you start to feel better.\n\nStamina regen is 25% slower.\nAll Attributes are lowered by 1."
buffDespair03UntreatedName,Depths of despair
buffDespair04Tooltip,The hopelessness of your situation has gotten too much for you to bear.
buffDespairAOEDesc,"These zombies are getting a bit too close for comfort ... \n\nEliminate them, or get the hell out of there!"
buffDespairAOEName,Danger
buffDespairAOETooltip,"",,,,,,,Nearby zombies are affecting your mental health.
buffDespairCounterDesc,"This is a measure of how much your environment is affecting your rate of despair.\n\nPositive numbers means despair is increasing.\n\nNegative numbers means your despair is decreasing."
buffDespairCounterName,"Despair"
buffDespairCounterTooltip,""
buffDespairCureDisplayDesc,You are feeling optimistic about your chances of surviving.
buffDespairCureDisplayName,Treated Despair
buffDespairCureDisplayPositive01Desc,"You are feeling hopeful and buoyant.\n\nYou have:\n5% decreased stamina loss.\n5% decreased health loss from damage taken.\n10% critical hit resistance."
buffDespairCureDisplayPositive01Name,Hope
buffDespairCureDisplayPositive02Desc,"You feel enthusiastic and cheerful.\n\nYou have:\n10% decreased stamina loss.\n10% decreased health loss from damage taken.\n15% critical hit resistance."
buffDespairCureDisplayPositive02Name,Enthusiastic
buffDespairCureDisplayPositive03Desc,"You are brimming with confidence and energy.\n\nYou have:\n15% decreased stamina loss.\n15% decreased health loss from damage taken.\n20% critical hit resistance."
buffDespairCureDisplayPositive03Name,Confident
buffDespairFeralAOEDesc,"These [ffff00]zombies[-] are getting tougher \n\nYou need to be careful ..."
buffDespairFeralAOEName,Danger Close
buffDespairFeralAOETooltip,"",,,,,,,,,Tougher zombies nearby are making your mental health worse.
buffDespairMedBlockerDesc,"You are currently warm, sheltered, and well lit. Are you sure you need despair medication?"
buffDespairMedBlockerName,"Stop!"
buffDespairMedBlockerTooltip,"You are warm, sheltered and well lit. Are you sure you need despair meds?"
buffDespairMutatedAOEDesc,"What the actual F%&*?!! These [f5c71a]zombies[-] are even worse than the greenies!\n\nIf you don't have blessed metal, you'd better run ..."
buffDespairMutatedAOEName,Get the hell away from me!
buffDespairMutatedAOETooltip,"",,,,,,,,Nearby Mutated zombies are making you question your survival chances ...
buffDespairRadiatedAOEDesc,"What the hell!? These [00ff00]zombies[-] can regenerate?! \n\nMight need some specialized gear for these ..."
buffDespairRadiatedAOEName,Grave Danger
buffDespairRadiatedAOETooltip,"",,,,,,,,,,Nearby Radiated zombies are really affecting your ability to think straight ...
buffFlashLightActive,Battery Status
buffFlashLightActiveDesc,"Your flashlight is currently powered.\n\nThe battery is being depleted, and when empty, requires replacing."
buffGoodCompanyFromTraderDesc,Your spirits are raised by being around other humans.
buffGoodCompanyFromTraderName,Humanity
buffHandTorchActive,Fuel Status
buffHandTorchActiveDesc,"Your torch is currently fuelled.\n\nThe fuel is being depleted, and when used up, the torch will extinguish.\n\nRefuel the torch by having 10 gasoline in your inventory."
buffHelmetLightActive,Battery Status
buffHelmetLightActiveDesc,"Your Helmet Light is currently powered.\n\nThe battery is being depleted, and when empty, requires replacing."
buffHelmetPurifierActive,Filter status:
buffHelmetPurifierActiveDesc,"Your Helmet Purifier is currently working, so you can safely drink from any water source.\n\nThe filter has limited uses, and will need to be replaced eventually."
buffHelmetPurifierReloadSuccess,"Reloading your Helmet Water Purifer."
buffInjuryStarvationDesc,"You are starving! Find something to eat, quick!!"
buffInjuryStarvationName,Starving!
buffInjuryStarvationTooltip,"You are starving! Find something to eat, quick!!"
buffLaserLightActive,Battery Status
buffLaserLightActiveDesc,"Your Laser Sight is currently powered.\n\nThe battery is being depleted, and when empty, requires replacing."
buffLithiumBlockerDesc,"Lithim and St. John's Wort are not candy!\n\nIt makes you thirsty, and you'll need to wait until the medication wears off before you can use it again."
buffLithiumBlockerName,"Lithium"
buffLithiumBlockerTooltip,"The treatment from Lithium and St. John's Wort must expire before the drug can be taken again."
buffNVGActive,Battery Status
buffNVGActiveDesc,"Your Night Vision Goggles are currently powered.\n\nThe battery is being depleted, and when empty, requires replacing."
buffPoisonedDesc,"You're envenomed. Your attributes are lowered by one, and you are slowly taking damage.\n\nYou'll want some antivenom, and fast."
buffPoisonedName,Envenomed!
buffPoisonedTooltip,You've been envenomed!
buffResurrectDesc,"You might wanna double check that these guys are actually dead ...\n\nDuring horde night, [FFC800]most[-] zombies have a 10% chance to respawn. Kill them with [CC5500]fire[-] damage or [CC5500]explosives[-] to ensure they stay dead."
buffResurrectName,Double Tap!
buffSmellDesc,"The food you are carrying is attracting unwanted attention.\n\nAll nearby zombies are attracted to, and enraged by, the smell of the food - so put it away or eat it!"
buffSmellJournalTip,"Carrying varying amounts of certain foods will attract and enrage nearby zombies.\n\nThe longer you have the food in your inventory, the more zombies will be attracted to it, and enraged by it.\n\nThe better the food, the less you can carry, so try to keep food in storage."
buffSmellJournalTip_title,Smell
buffSmellName,"Alerted"
buffSmellTooltip,Nearby zombies are attracted to the smell of the food you're carrying.
buffStJohnsWortBlockerName,"St. John's Wort"
buffT0FoodTimeTrackDesc,"You have consumed some very basic food or drink, and your wellness has improved a tiny amount.\n\nYou'll need to wait a while until you can improve your wellness again."
buffT0FoodTimeTrackName,"Basic Food/Drink"
buffT0FoodTimeTrackToolTip,"wellness has improved a tiny amount"
buffT1FoodTimeTrackDesc,"You have consumed some basic food or drink, and your wellness has improved a little.\n\nYou'll need to wait a while until you can improve your wellness again."
buffT1FoodTimeTrackName,"Decent Food/Drink"
buffT1FoodTimeTrackToolTip,"wellness has improved a little"
buffT2FoodTimeTrackDesc,"You have consumed some decent food or drink, and your wellness has improved slightly.\n\nYou'll need to wait a while until you can improve your wellness again."
buffT2FoodTimeTrackName,"Average Food/Drink"
buffT2FoodTimeTrackToolTip,"wellness has improved slightly"
buffT3FoodTimeTrackDesc,"You have consumed some good food or drink, and your wellness has improved a lot.\n\nYou'll need to wait a while until you can improve your wellness again."
buffT3FoodTimeTrackName,"Good Food/Drink"
buffT3FoodTimeTrackToolTip,"wellness has improved a lot"
buffT4FoodTimeTrackDesc,"You have consumed some excellent food or drink, and your wellness has improved greatly.\n\nYou'll need to wait a while until you can improve your wellness again."
buffT4FoodTimeTrackName,"Excellent Food/Drink"
buffT4FoodTimeTrackToolTip,"wellness has improved greatly"
buffWeaponLightActive,Battery Status
buffWeaponLightActiveDesc,"Your Weapon Flashlight is currently powered.\n\nThe battery is being depleted, and when empty, requires replacing."
buff_NoVehicle,Vehicle Subemerged
buff_NoVehicleDesc,Internal combustion engines don't work underwater!!\n\nYou'll have to put your vehicle back on dry land before it can be driven again.
challengeCraftDewCollector,Craft Dew Collector
challengeCraftDewCollectorDesc,"Water determines how fast your health and stamina bars recover. With empty hands, you can drink from any water source by pressing ""E"". Drinking water that has not been boiled has the risk of contracting dysentery. At a campfire, you can boil jars of water with a cooking pot. Your water level can be found in the character stats menu. An advanced method of collecting water is by crafting a Dew Collector. Water will affect regen speed when it is below 50% and 25%. All drink items will provide a small bonus to stamina regen while the 'drink' buff is visible."
challengeCraftDewCollectorHint1,[FFB400]Craft a [-][00FF00]Dew Collector[-][FFB400].[-]
challengeCraftDewCollectorShort,Craft a Dew Collector to start producing water.
challengeGathererWood,Gather Wood Logs
challengeGathererWoodDesc,[DECEA3]Wood Logs[-] can be gathered with an [DECEA3]Axe[-] by cutting down [DECEA3]Trees[-].\n\nGather some [DECEA3]Wood Logs[-] with an [DECEA3]Axe[DECEA3].
challengeGathererWoodShort,Gather some Wood Logs.
challengegatherDukes,Gather Dukes
challengegatherDukesDesc,"[DECEA3]Traders[-] offer several [DECEA3]Items[-]. [DECEA3]Items[-] can be [DECEA3]purchased[-] from, and [DECEA3]sold[-] to, [DECEA3]Traders[-] for [DECEA3]Dukes[-], the casino coin that is the currency now. [DECEA3]Buying[-] or [DECEA3]selling[-] items will increase your [DECEA3]Trader Stage[-].\n\nAs your [DECEA3]Trader Stage[-] increases, [DECEA3]items[-] will become cheaper to buy, and sell for more. There are also [DECEA3]consumables[-]  and [DECEA3]armour mods[-], which will increase your bartering efficiency. \n\n[FF0000]WARNING:[-] Any items at [DECEA3]Quality 6[-] will [FF0000]NOT[-] be able to be repurchased. [DECEA3]Dukes[-] can be found in [DECEA3]loot[-], and obtained by [DECEA3]trading[-]. They can also be [DECEA3]smelted[-] in a [DECEA3]Forge[-] for brass. \n\nSome rare [DECEA3]items[-] can be found in [DECEA3]Trader stock[-]."
challengegatherDukesShort,Collect some Casino Coins.
challengegatherDukesStack,Gather a stack of Dukes
challengegatherDukesStackDesc,"[DECEA3]Traders[-] have several [DECEA3]Items[-] that you can [DECEA3]purchase[-], and you can also [DECEA3]sell[-] any unwanted items, for [DECEA3]Dukes[-], the casino coin that is the [DECEA3]currency[-] now. [DECEA3]Buying[-] or [DECEA3]selling[-] items will increase your [DECEA3]Trader Stage[-].\n\nAs your [DECEA3]Trader Stage[-] increases, [DECEA3]items[-] will become cheaper to buy, and sell for more. There are also [DECEA3]consumables[-]  and [DECEA3]armour mods[-], which will increase your bartering efficiency. \n\n[FF0000]WARNING:[-] Any items at [DECEA3]Quality 6[-] will [FF0000]NOT[-] be able to be repurchased. [DECEA3]Dukes[-] can be found in [DECEA3]loot[-], and obtained by [DECEA3]trading[-]. They can also be [DECEA3]smelted[-] in a [DECEA3]Forge[-] for brass. \n\nSome rare [DECEA3]items[-] can be found in [DECEA3]Trader stock[-]."
challengegatherDukesStackShort,Collect a lot of Casino Coins.
challengePlacePassiveCollector,Place Chicken Coop
challengePlacePassiveCollectorDesc,"A [DECEA3]Chicken Coop[-] is a [DECEA3]Workstation[-] that allows you to passively obtain [DECEA3]Eggs[-] over time. Catch a [DECEA3]Chicken[-] and place it in the coop. Can be upgraded with a [DECEA3]Heatlamp[-] and a [DECEA3]Nesting[-] to provide more [DECEA3]Eggs[-] more efficiently."
challengePlacePassiveCollectorShort,Place a Chicken Coop to collect eggs.
challengePlantLavender,Plant Lavender
challengePlantLavenderDesc,"To make a [DECEA3]lavender seed[-], [DECEA3]Gather[-] some [DECEA3]lavender flowers[-] in the [DECEA3]Forest biome[-], click [DECEA3]Recipes[-], then select [DECEA3]Craft[-].\n\nWhen the seed is crafted, equip it on your [DECEA3]toolbelt[-], and place it in a [DECEA3]Farm Plot[-], or on some [DECEA3]fertilized terrain[-]."
challengePlantLavenderShort,Plant a Lavender seed.
challengeReadMagazines,Gather Research Paper
challengeReadMagazinesDesc,"You can use [DECEA3]Research Papers[-] to increase your [DECEA3]Crafting Skill[-] which in turn increases the [DECEA3]Quality[-] and/or [DECEA3]Technology Tier[-] of the item being crafted. You can track your [DECEA3]Crafting Skill[-] progression in the [DECEA3]Skills Window[-] and selecting the [DECEA3]Hammer[-] icon in the category header.\n\n[DECEA3]Research Papers[-] can be found in various loot containers such as [DECEA3]Mailboxes[-], [DECEA3]Zombie Corpses[-], or [DECEA3]Trash[-].\n[DECEA3]Books[-] and [DECEA3]Schematics[-] can be scrapped for research.\n\nTo use [DECEA3]Research Papers[-], you just need to have them in your inventory. Click on the [DECEA3]Crafting Level[-] icon of the crafting tier you want to progress, and if you have enough [DECEA3]Research Papers[-] in your inventory, your [DECEA3]Crafting Skill[-] will increase."
challengeReadMagazinesHint1,[00FF00]Gather[-] some [00FF00]Research Papers[-][FFB400].[-]
challengeReadMagazinesHint1_alt,[00FF00]Gather [-] some [00FF00]Research Papers[-][FFB400].[-]
challengeReadMagazinesShort,Gather research to increase your crafting skill on [00FF00]ANY[-] topic.
chickenCoop,Chicken coop
chickenCoopDesc,Produces eggs. Needs a chicken.\n\nChickens need replacing periodically.\nChickens can be used in other recipes.
cntMedicineCabinetPlayer,Player Medical Cabinet
craftingArmorDesc,Increase [DECEA3]Armour Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingBladesDesc,Increase [DECEA3]Blades Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingBowsDesc,Increase [DECEA3]Bows Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingClubsDesc,Increase [DECEA3]Club Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingElectricianDesc,Increase [DECEA3]Electrical Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingExplosivesDesc,Increase [DECEA3]Explosive Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingFoodDesc,Increase [DECEA3]Food Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingHandgunsDesc,Increase [DECEA3]Handgun Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingHarvestingToolsDesc,Increase [DECEA3]Harvesting Tool Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingKnucklesDesc,Increase [DECEA3]Knuckle Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingMachineGunsDesc,Increase [DECEA3]Machine Gun Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingMedicalDesc,Increase [DECEA3]Medical Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingRepairToolsDesc,Increase [DECEA3]Repair Tool Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingRiflesDesc,Increase [DECEA3]Rifle Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingRoboticsDesc,Increase [DECEA3]Robotics Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingSalvageToolsDesc,Increase [DECEA3]Salvage Tool Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
