Key,File,Type,UsedInMainMenu,NoTranslate,english
perkArcheryRank3Desc,progression,Perk,,,Fledgling Archer III
perkArcheryRank3LongDesc,progression,Perk,,,"Fledgling Archer III. Bows & crossbows: block damage +5%, entity damage +3%, weapon handling +3%, draw speed +3%, reload +2.2%. Weapons degrade 3% slower per shot (if durability is enabled). Find chance: bows +2.3%. Ranger’s Guide books +2.3% until complete. Agility synergy: headshot +12%, dismember +6%."
perkArcheryRank4Desc,progression,Perk,,,Fledgling Archer IV
perkArcheryRank4LongDesc,progression,Perk,,,"Fledgling Archer IV. Bows & crossbows: block damage +7%, entity damage +4%, weapon handling +4%, draw speed +4%, reload +2.8%. Weapons degrade 4% slower per shot (if durability is enabled). Find chance: bows +2.5%. Ranger’s Guide books +2.5% until complete. Agility synergy: headshot +14%, dismember +7%."
perkArcheryRank5Desc,progression,Perk,,,Fledgling Archer V
perkArcheryRank5LongDesc,progression,Perk,,,"Fledgling Archer V. Bows & crossbows: block damage +9%, entity damage +5%, weapon handling +5%, draw speed +5%, reload +3.4%. Weapons degrade 5% slower per shot (if durability is enabled). Find chance: bows +2.6%. Ranger’s Guide books +2.6% until complete. Agility synergy: headshot +16%, dismember +8%."
perkArcheryRank6Desc,progression,Perk,,,Fledgling Archer VI
perkArcheryRank6LongDesc,progression,Perk,,,"Fledgling Archer VI. Bows & crossbows: block damage +11%, entity damage +6%, weapon handling +6%, draw speed +6%, reload +4.0%. Weapons degrade 6% slower per shot (if durability is enabled). Find chance: bows +2.8%. Ranger’s Guide books +2.8% until complete. Agility synergy: headshot +18%, dismember +9%."
perkArcheryRank7Desc,progression,Perk,,,Fledgling Archer VII
perkArcheryRank7LongDesc,progression,Perk,,,"Fledgling Archer VII. Bows & crossbows: block damage +13%, entity damage +7%, weapon handling +7%, draw speed +7%, reload +4.6%. Weapons degrade 7% slower per shot (if durability is enabled). Find chance: bows +3.0%. Ranger’s Guide books +3.0% until complete. Agility synergy: headshot +20%, dismember +9%."
perkArcheryRank8Desc,progression,Perk,,,Fledgling Archer VIII
perkArcheryRank8LongDesc,progression,Perk,,,"Fledgling Archer VIII. Bows & crossbows: block damage +15%, entity damage +8%, weapon handling +8%, draw speed +8%, reload +5.2%. Weapons degrade 8% slower per shot (if durability is enabled). Find chance: bows +3.1%. Ranger’s Guide books +3.1% until complete. Agility synergy: headshot +22%, dismember +10%."
perkArcheryRank9Desc,progression,Perk,,,Fledgling Archer IX
perkArcheryRank9LongDesc,progression,Perk,,,"Fledgling Archer IX. Bows & crossbows: block damage +17%, entity damage +9%, weapon handling +9%, draw speed +9%, reload +5.8%. Weapons degrade 9% slower per shot (if durability is enabled). Find chance: bows +3.3%. Ranger’s Guide books +3.3% until complete. Agility synergy: headshot +23%, dismember +11%."
perkArcheryRank10Desc,progression,Perk,,,Fledgling Archer X
perkArcheryRank10LongDesc,progression,Perk,,,"Fledgling Archer X. Bows & crossbows: block damage +19%, entity damage +10%, weapon handling +10%, draw speed +10%, reload +6.3%. Weapons degrade 10% slower per shot (if durability is enabled). Find chance: bows +3.4%. Ranger’s Guide books +3.4% until complete. Agility synergy: headshot +25%, dismember +12%."
perkArcheryRank11Desc,progression,Perk,,,Bowhunter I
perkArcheryRank11LongDesc,progression,Perk,,,"Bowhunter I. Bows & crossbows: block damage +21%, entity damage +11%, weapon handling +11%, draw speed +11%, reload +6.9%. Weapons degrade 11% slower per shot (if durability is enabled). Find chance: bows +3.6%. Ranger’s Guide books +3.6% until complete. Agility synergy: headshot +27%, dismember +13%."
perkArcheryRank12Desc,progression,Perk,,,Bowhunter II
perkArcheryRank12LongDesc,progression,Perk,,,"Bowhunter II. Bows & crossbows: block damage +23%, entity damage +12%, weapon handling +12%, draw speed +12%, reload +7.5%. Weapons degrade 12% slower per shot (if durability is enabled). Find chance: bows +3.8%. Ranger’s Guide books +3.8% until complete. Agility synergy: headshot +29%, dismember +14%."
perkArcheryRank13Desc,progression,Perk,,,Bowhunter III
perkArcheryRank13LongDesc,progression,Perk,,,"Bowhunter III. Bows & crossbows: block damage +25%, entity damage +13%, weapon handling +13%, draw speed +13%, reload +8.1%. Weapons degrade 13% slower per shot (if durability is enabled). Find chance: bows +3.9%. Ranger’s Guide books +3.9% until complete. Agility synergy: headshot +31%, dismember +15%."
perkArcheryRank14Desc,progression,Perk,,,Bowhunter IV
perkArcheryRank14LongDesc,progression,Perk,,,"Bowhunter IV. Bows & crossbows: block damage +27%, entity damage +14%, weapon handling +14%, draw speed +14%, reload +8.7%. Weapons degrade 14% slower per shot (if durability is enabled). Find chance: bows +4.1%. Ranger’s Guide books +4.1% until complete. Agility synergy: headshot +33%, dismember +16%."
perkArcheryRank15Desc,progression,Perk,,,Bowhunter V
perkArcheryRank15LongDesc,progression,Perk,,,"Bowhunter V. Bows & crossbows: block damage +29%, entity damage +15%, weapon handling +15%, draw speed +15%, reload +9.3%. Weapons degrade 15% slower per shot (if durability is enabled). Find chance: bows +4.2%. Ranger’s Guide books +4.2% until complete. Agility synergy: headshot +35%, dismember +17%."
perkArcheryRank16Desc,progression,Perk,,,Bowhunter VI
perkArcheryRank16LongDesc,progression,Perk,,,"Bowhunter VI. Bows & crossbows: block damage +31%, entity damage +16%, weapon handling +16%, draw speed +16%, reload +9.9%. Weapons degrade 16% slower per shot (if durability is enabled). Find chance: bows +4.4%. Ranger’s Guide books +4.4% until complete. Agility synergy: headshot +37%, dismember +18%."
perkArcheryRank17Desc,progression,Perk,,,Bowhunter VII
perkArcheryRank17LongDesc,progression,Perk,,,"Bowhunter VII. Bows & crossbows: block damage +33%, entity damage +17%, weapon handling +17%, draw speed +17%, reload +10.5%. Weapons degrade 17% slower per shot (if durability is enabled). Find chance: bows +4.6%. Ranger’s Guide books +4.6% until complete. Agility synergy: headshot +39%, dismember +19%."
perkArcheryRank18Desc,progression,Perk,,,Bowhunter VIII
perkArcheryRank18LongDesc,progression,Perk,,,"Bowhunter VIII. Bows & crossbows: block damage +35%, entity damage +18%, weapon handling +18%, draw speed +18%, reload +11.1%. Weapons degrade 18% slower per shot (if durability is enabled). Find chance: bows +4.7%. Ranger’s Guide books +4.7% until complete. Agility synergy: headshot +41%, dismember +20%."
perkArcheryRank19Desc,progression,Perk,,,Bowhunter IX
perkArcheryRank19LongDesc,progression,Perk,,,"Bowhunter IX. Bows & crossbows: block damage +37%, entity damage +19%, weapon handling +19%, draw speed +19%, reload +11.7%. Weapons degrade 19% slower per shot (if durability is enabled). Find chance: bows +4.9%. Ranger’s Guide books +4.9% until complete. Agility synergy: headshot +43%, dismember +21%."
perkArcheryRank20Desc,progression,Perk,,,Bowhunter X
perkArcheryRank20LongDesc,progression,Perk,,,"Bowhunter X. Bows & crossbows: block damage +39%, entity damage +20%, weapon handling +20%, draw speed +20%, reload +12.2%. Weapons degrade 20% slower per shot (if durability is enabled). Find chance: bows +5.1%. Ranger’s Guide books +5.1% until complete. Agility synergy: headshot +45%, dismember +22%."
perkArcheryRank21Desc,progression,Perk,,,Sharpshot I
perkArcheryRank21LongDesc,progression,Perk,,,"Sharpshot I. Bows & crossbows: block damage +41%, entity damage +21%, weapon handling +21%, draw speed +21%, reload +12.8%. Weapons degrade 21% slower per shot (if durability is enabled). Find chance: bows +5.2%. Ranger’s Guide books +5.2% until complete. Agility synergy: headshot +47%, dismember +23%."
perkArcheryRank22Desc,progression,Perk,,,Sharpshot II
perkArcheryRank22LongDesc,progression,Perk,,,"Sharpshot II. Bows & crossbows: block damage +43%, entity damage +22%, weapon handling +22%, draw speed +22%, reload +13.4%. Weapons degrade 22% slower per shot (if durability is enabled). Find chance: bows +5.4%. Ranger’s Guide books +5.4% until complete. Agility synergy: headshot +49%, dismember +24%."
perkArcheryRank23Desc,progression,Perk,,,Sharpshot III
perkArcheryRank23LongDesc,progression,Perk,,,"Sharpshot III. Bows & crossbows: block damage +45%, entity damage +23%, weapon handling +23%, draw speed +23%, reload +14.0%. Weapons degrade 23% slower per shot (if durability is enabled). Find chance: bows +5.6%. Ranger’s Guide books +5.6% until complete. Agility synergy: headshot +51%, dismember +25%."
perkArcheryRank24Desc,progression,Perk,,,Sharpshot IV
perkArcheryRank24LongDesc,progression,Perk,,,"Sharpshot IV. Bows & crossbows: block damage +47%, entity damage +24%, weapon handling +24%, draw speed +24%, reload +14.6%. Weapons degrade 24% slower per shot (if durability is enabled). Find chance: bows +5.7%. Ranger’s Guide books +5.7% until complete. Agility synergy: headshot +53%, dismember +26%."
perkArcheryRank25Desc,progression,Perk,,,Sharpshot V
perkArcheryRank25LongDesc,progression,Perk,,,"Sharpshot V. Bows & crossbows: block damage +49%, entity damage +25%, weapon handling +25%, draw speed +25%, reload +15.2%. Weapons degrade 25% slower per shot (if durability is enabled). Find chance: bows +5.9%. Ranger’s Guide books +5.9% until complete. Agility synergy: headshot +55%, dismember +27%."
perkArcheryRank26Desc,progression,Perk,,,Sharpshot VI
perkArcheryRank26LongDesc,progression,Perk,,,"Sharpshot VI. Bows & crossbows: block damage +51%, entity damage +26%, weapon handling +26%, draw speed +26%, reload +15.8%. Weapons degrade 26% slower per shot (if durability is enabled). Find chance: bows +6.1%. Ranger’s Guide books +6.1% until complete. Agility synergy: headshot +57%, dismember +28%."
perkArcheryRank27Desc,progression,Perk,,,Sharpshot VII
perkArcheryRank27LongDesc,progression,Perk,,,"Sharpshot VII. Bows & crossbows: block damage +53%, entity damage +27%, weapon handling +27%, draw speed +27%, reload +16.4%. Weapons degrade 27% slower per shot (if durability is enabled). Find chance: bows +6.2%. Ranger’s Guide books +6.2% until complete. Agility synergy: headshot +59%, dismember +29%."
perkArcheryRank28Desc,progression,Perk,,,Sharpshot VIII
perkArcheryRank28LongDesc,progression,Perk,,,"Sharpshot VIII. Bows & crossbows: block damage +55%, entity damage +28%, weapon handling +28%, draw speed +28%, reload +17.0%. Weapons degrade 28% slower per shot (if durability is enabled). Find chance: bows +6.4%. Ranger’s Guide books +6.4% until complete. Agility synergy: headshot +61%, dismember +30%."
perkArcheryRank29Desc,progression,Perk,,,Sharpshot IX
perkArcheryRank29LongDesc,progression,Perk,,,"Sharpshot IX. Bows & crossbows: block damage +57%, entity damage +29%, weapon handling +29%, draw speed +29%, reload +17.6%. Weapons degrade 29% slower per shot (if durability is enabled). Find chance: bows +6.6%. Ranger’s Guide books +6.6% until complete. Agility synergy: headshot +63%, dismember +31%."
perkArcheryRank30Desc,progression,Perk,,,Sharpshot X
perkArcheryRank30LongDesc,progression,Perk,,,"Sharpshot X. Bows & crossbows: block damage +59%, entity damage +30%, weapon handling +30%, draw speed +30%, reload +18.2%. Weapons degrade 30% slower per shot (if durability is enabled). Find chance: bows +6.7%. Ranger’s Guide books +6.7% until complete. Agility synergy: headshot +62%, dismember +28%."
perkArcheryRank31Desc,progression,Perk,,,Ranger I
perkArcheryRank31LongDesc,progression,Perk,,,"Ranger I. Bows & crossbows: block damage +61%, entity damage +31%, weapon handling +31%, draw speed +31%, reload +18.8%. Weapons degrade 31% slower per shot (if durability is enabled). Find chance: bows +6.9%. Ranger’s Guide books +6.9% until complete. Agility synergy: headshot +65%, dismember +32%."
perkArcheryRank32Desc,progression,Perk,,,Ranger II
perkArcheryRank32LongDesc,progression,Perk,,,"Ranger II. Bows & crossbows: block damage +63%, entity damage +32%, weapon handling +32%, draw speed +32%, reload +19.3%. Weapons degrade 32% slower per shot (if durability is enabled). Find chance: bows +7.1%. Ranger’s Guide books +7.1% until complete. Agility synergy: headshot +67%, dismember +34%."
perkArcheryRank33Desc,progression,Perk,,,Ranger III
perkArcheryRank33LongDesc,progression,Perk,,,"Ranger III. Bows & crossbows: block damage +65%, entity damage +33%, weapon handling +33%, draw speed +33%, reload +19.9%. Weapons degrade 33% slower per shot (if durability is enabled). Find chance: bows +7.3%. Ranger’s Guide books +7.3% until complete. Agility synergy: headshot +69%, dismember +35%."
perkArcheryRank34Desc,progression,Perk,,,Ranger IV
perkArcheryRank34LongDesc,progression,Perk,,,"Ranger IV. Bows & crossbows: block damage +67%, entity damage +34%, weapon handling +34%, draw speed +34%, reload +20.5%. Weapons degrade 34% slower per shot (if durability is enabled). Find chance: bows +7.4%. Ranger’s Guide books +7.4% until complete. Agility synergy: headshot +71%, dismember +36%."
perkArcheryRank35Desc,progression,Perk,,,Ranger V
perkArcheryRank35LongDesc,progression,Perk,,,"Ranger V. Bows & crossbows: block damage +69%, entity damage +35%, weapon handling +35%, draw speed +35%, reload +21.1%. Weapons degrade 35% slower per shot (if durability is enabled). Find chance: bows +7.6%. Ranger’s Guide books +7.6% until complete. Agility synergy: headshot +73%, dismember +37%."
perkArcheryRank36Desc,progression,Perk,,,Ranger VI
perkArcheryRank36LongDesc,progression,Perk,,,"Ranger VI. Bows & crossbows: block damage +71%, entity damage +36%, weapon handling +36%, draw speed +36%, reload +21.7%. Weapons degrade 36% slower per shot (if durability is enabled). Find chance: bows +7.8%. Ranger’s Guide books +7.8% until complete. Agility synergy: headshot +75%, dismember +38%."
perkArcheryRank37Desc,progression,Perk,,,Ranger VII
perkArcheryRank37LongDesc,progression,Perk,,,"Ranger VII. Bows & crossbows: block damage +73%, entity damage +37%, weapon handling +37%, draw speed +37%, reload +22.3%. Weapons degrade 37% slower per shot (if durability is enabled). Find chance: bows +7.9%. Ranger’s Guide books +7.9% until complete. Agility synergy: headshot +77%, dismember +39%."
perkArcheryRank38Desc,progression,Perk,,,Ranger VIII
perkArcheryRank38LongDesc,progression,Perk,,,"Ranger VIII. Bows & crossbows: block damage +75%, entity damage +38%, weapon handling +38%, draw speed +38%, reload +22.9%. Weapons degrade 38% slower per shot (if durability is enabled). Find chance: bows +8.1%. Ranger’s Guide books +8.1% until complete. Agility synergy: headshot +80%, dismember +40%."
perkArcheryRank39Desc,progression,Perk,,,Ranger IX
perkArcheryRank39LongDesc,progression,Perk,,,"Ranger IX. Bows & crossbows: block damage +77%, entity damage +39%, weapon handling +39%, draw speed +39%, reload +23.5%. Weapons degrade 39% slower per shot (if durability is enabled). Find chance: bows +8.3%. Ranger’s Guide books +8.3% until complete. Agility synergy: headshot +81%, dismember +41%."
perkArcheryRank40Desc,progression,Perk,,,Ranger X
perkArcheryRank40LongDesc,progression,Perk,,,"Ranger X. Bows & crossbows: block damage +79%, entity damage +40%, weapon handling +40%, draw speed +40%, reload +24.1%. Weapons degrade 40% slower per shot (if durability is enabled). Find chance: bows +8.4%. Ranger’s Guide books +8.4% until complete. Agility synergy: headshot +83%, dismember +41%."
perkArcheryRank41Desc,progression,Perk,,,Master Archer I
perkArcheryRank41LongDesc,progression,Perk,,,"Master Archer I. Bows & crossbows: block damage +81%, entity damage +41%, weapon handling +41%, draw speed +41%, reload +24.7%. Weapons degrade 41% slower per shot (if durability is enabled). Find chance: bows +8.6%. Ranger’s Guide books +8.6% until complete. Agility synergy: headshot +86%, dismember +42%."
perkArcheryRank42Desc,progression,Perk,,,Master Archer II
perkArcheryRank42LongDesc,progression,Perk,,,"Master Archer II. Bows & crossbows: block damage +83%, entity damage +42%, weapon handling +42%, draw speed +42%, reload +25.3%. Weapons degrade 42% slower per shot (if durability is enabled). Find chance: bows +8.8%. Ranger’s Guide books +8.8% until complete. Agility synergy: headshot +88%, dismember +42%."
perkArcheryRank43Desc,progression,Perk,,,Master Archer III
perkArcheryRank43LongDesc,progression,Perk,,,"Master Archer III. Bows & crossbows: block damage +85%, entity damage +43%, weapon handling +43%, draw speed +43%, reload +25.8%. Weapons degrade 43% slower per shot (if durability is enabled). Find chance: bows +8.9%. Ranger’s Guide books +8.9% until complete. Agility synergy: headshot +90%, dismember +43%."
perkArcheryRank44Desc,progression,Perk,,,Master Archer IV
perkArcheryRank44LongDesc,progression,Perk,,,"Master Archer IV. Bows & crossbows: block damage +87%, entity damage +44%, weapon handling +44%, draw speed +44%, reload +26.4%. Weapons degrade 44% slower per shot (if durability is enabled). Find chance: bows +9.1%. Ranger’s Guide books +9.1% until complete. Agility synergy: headshot +92%, dismember +44%."
perkArcheryRank45Desc,progression,Perk,,,Master Archer V
perkArcheryRank45LongDesc,progression,Perk,,,"Master Archer V. Bows & crossbows: block damage +89%, entity damage +45%, weapon handling +45%, draw speed +45%, reload +27.0%. Weapons degrade 45% slower per shot (if durability is enabled). Find chance: bows +9.3%. Ranger’s Guide books +9.3% until complete. Agility synergy: headshot +94%, dismember +45%."
perkArcheryRank46Desc,progression,Perk,,,Master Archer VI
perkArcheryRank46LongDesc,progression,Perk,,,"Master Archer VI. Bows & crossbows: block damage +91%, entity damage +46%, weapon handling +46%, draw speed +46%, reload +27.6%. Weapons degrade 46% slower per shot (if durability is enabled). Find chance: bows +9.5%. Ranger’s Guide books +9.5% until complete. Agility synergy: headshot +96%, dismember +45%."
perkArcheryRank47Desc,progression,Perk,,,Master Archer VII
perkArcheryRank47LongDesc,progression,Perk,,,"Master Archer VII. Bows & crossbows: block damage +93%, entity damage +47%, weapon handling +47%, draw speed +47%, reload +28.2%. Weapons degrade 47% slower per shot (if durability is enabled). Find chance: bows +9.6%. Ranger’s Guide books +9.6% until complete. Agility synergy: headshot +98%, dismember +45%."
perkArcheryRank48Desc,progression,Perk,,,Master Archer VIII
perkArcheryRank48LongDesc,progression,Perk,,,"Master Archer VIII. Bows & crossbows: block damage +95%, entity damage +48%, weapon handling +48%, draw speed +48%, reload +28.8%. Weapons degrade 48% slower per shot (if durability is enabled). Find chance: bows +9.8%. Ranger’s Guide books +9.8% until complete. Agility synergy: headshot +100%, dismember +45%."
perkArcheryRank49Desc,progression,Perk,,,Master Archer IX
perkArcheryRank49LongDesc,progression,Perk,,,"Master Archer IX. Bows & crossbows: block damage +97%, entity damage +49%, weapon handling +49%, draw speed +49%, reload +29.4%. Weapons degrade 49.5% slower per shot (if durability is enabled). Find chance: bows +10.0%. Ranger’s Guide books +10.0% until complete. Agility synergy: headshot +100%, dismember +45%."
perkArcheryRank50Desc,progression,Perk,,,Master Archer X
perkArcheryRank50LongDesc,progression,Perk,,,"Master Archer X. Bows & crossbows: block damage +100%, entity damage +50%, weapon handling +50%, draw speed +50%, reload +30.0%. Weapons degrade 50% slower per shot (if durability is enabled). Find chance: bows +10.0%. Ranger’s Guide books +10.0% until complete. Agility synergy: headshot +100%, dismember +45%."
perkBetterBarterRank1Desc,progression,Perk,,,Penny Pincher I
perkBetterBarterRank1LongDesc,progression,Perk,,,"Penny Pincher I. 0%, sell prices +5.0%. Trader Stage +1."
perkBetterBarterRank2Desc,progression,Perk,,,Penny Pincher II
perkBetterBarterRank2LongDesc,progression,Perk,,,"Penny Pincher II. 4%, sell prices +5.4%. Trader Stage +2."
perkBetterBarterRank3Desc,progression,Perk,,,Penny Pincher III
perkBetterBarterRank3LongDesc,progression,Perk,,,"Penny Pincher III. 8%, sell prices +5.8%. Trader Stage +3."
perkBetterBarterRank4Desc,progression,Perk,,,Penny Pincher IV
perkBetterBarterRank4LongDesc,progression,Perk,,,"Penny Pincher IV. 2%, sell prices +6.2%. Trader Stage +4."
perkBetterBarterRank5Desc,progression,Perk,,,Penny Pincher V
perkBetterBarterRank5LongDesc,progression,Perk,,,"Penny Pincher V. 6%, sell prices +6.6%. Trader Stage +5."
perkBetterBarterRank6Desc,progression,Perk,,,Penny Pincher VI
perkBetterBarterRank6LongDesc,progression,Perk,,,"Penny Pincher VI. 0%, sell prices +7.0%. Trader Stage +6."
perkBetterBarterRank7Desc,progression,Perk,,,Penny Pincher VII
perkBetterBarterRank7LongDesc,progression,Perk,,,"Penny Pincher VII. 4%, sell prices +7.4%. Trader Stage +7."
perkBetterBarterRank8Desc,progression,Perk,,,Penny Pincher VIII
perkBetterBarterRank8LongDesc,progression,Perk,,,"Penny Pincher VIII. 9%, sell prices +7.9%. Trader Stage +8."
perkBetterBarterRank9Desc,progression,Perk,,,Penny Pincher IX
perkBetterBarterRank9LongDesc,progression,Perk,,,"Penny Pincher IX. 3%, sell prices +8.3%. Trader Stage +9."
perkBetterBarterRank10Desc,progression,Perk,,,Penny Pincher X
perkBetterBarterRank10LongDesc,progression,Perk,,,"Penny Pincher X. 7%, sell prices +8.7%. Trader Stage +10."
perkBetterBarterRank11Desc,progression,Perk,,,Saver Savant I
perkBetterBarterRank11LongDesc,progression,Perk,,,"Saver Savant I. 1%, sell prices +9.1%. Trader Stage +11."
perkBetterBarterRank12Desc,progression,Perk,,,Saver Savant II
perkBetterBarterRank12LongDesc,progression,Perk,,,"Saver Savant II. 5%, sell prices +9.5%. Trader Stage +12."
perkBetterBarterRank13Desc,progression,Perk,,,Saver Savant III
perkBetterBarterRank13LongDesc,progression,Perk,,,"Saver Savant III. 9%, sell prices +9.9%. Trader Stage +13."
perkBetterBarterRank14Desc,progression,Perk,,,Saver Savant IV
perkBetterBarterRank14LongDesc,progression,Perk,,,"Saver Savant IV. 3%, sell prices +10.3%. Trader Stage +14."
perkBetterBarterRank15Desc,progression,Perk,,,Saver Savant V
perkBetterBarterRank15LongDesc,progression,Perk,,,"Saver Savant V. 7%, sell prices +10.7%. Trader Stage +15."
perkBetterBarterRank16Desc,progression,Perk,,,Saver Savant VI
perkBetterBarterRank16LongDesc,progression,Perk,,,"Saver Savant VI. 1%, sell prices +11.1%. Trader Stage +16."
perkBetterBarterRank17Desc,progression,Perk,,,Saver Savant VII
perkBetterBarterRank17LongDesc,progression,Perk,,,"Saver Savant VII. 5%, sell prices +11.5%. Trader Stage +17."
